term,estimate,std.error,statistic,p.value,significativo
(Intercept),9109.492800498725,13.961003783779722,652.4955469951512,0,Sí
Gender1,17.73447646063644,4.756089963630767,3.7287933147290717,1.924181558982896e-4,Sí
Age1,-171.2155102216686,21.618859475261843,-7.919729087354868,2.3846809218952653e-15,Sí
Age2,-185.72716090207774,10.030573621700507,-18.516105649259067,1.615700785846056e-76,Sí
Age3,-103.56350675859537,8.127970087263868,-12.741620065860518,3.5134529167100373e-37,Sí
Age4,23.73368925967646,9.675125002586444,2.4530628031505275,0.014164868718560788,Sí
Age5,16.449236287905787,13.296810475086193,1.237081352609048,0.21605741002307535,No
Age6,260.9785440673745,14.271777687314229,18.286337538690137,1.1189800503189471e-74,Sí
City_Category1,-236.19881977714172,6.219333949030178,-37.978153563208124,3.40736509e-315,Sí
City_Category2,-94.56184563384369,5.517625556423208,-17.138141156346112,8.017799222073144e-66,Sí
Product_Category_11,4550.893893579371,15.243041682002275,298.55549755221693,0,Sí
Product_Category_12,2200.1719776473146,22.722656985553616,96.82723191421312,0,Sí
Product_Category_13,1054.2682217531963,24.087811778432958,43.76770424190778,0,Sí
Product_Category_14,-6706.193369714599,29.52036081964666,-227.1717954494456,0,Sí
Product_Category_15,-2799.5007706389865,15.092890087150598,-185.48473847446584,0,Sí
Product_Category_16,6787.072273335008,23.946724285230907,283.42382834887025,0,Sí
Product_Category_17,7345.15298017453,48.727097110243164,150.7406230984047,0,Sí
Product_Category_18,-1559.9811949556222,15.66093294875796,-99.6097231282343,0,Sí
Product_Category_19,6486.447859162436,141.92324659490473,45.70391401541761,0,Sí
Product_Category_110,10580.654976523158,42.08341103528516,251.42104017309163,0,Sí
Product_Category_111,-4349.5974359694355,22.60491520310038,-192.4182151045126,0,Sí
Product_Category_112,-7747.901642534767,47.443168895072134,-163.30910904519138,0,Sí
Product_Category_113,-8340.9485499696,40.60379732751911,-205.42286926244077,0,Sí
Product_Category_114,4090.2303573897757,74.50766795646085,54.896770622051065,0,Sí
Product_Category_115,5725.106678671129,38.40947121750409,149.05455600393853,0,Sí
Product_Category_116,5721.328648568257,31.7230832975875,180.3522247474399,0,Sí
Product_Category_117,1022.273882391287,119.77628927362156,8.534860184689519,1.4067308062331528e-17,Sí
Product_Category_118,-6126.963120685439,52.87586379342288,-115.8744780912224,0,Sí
Product_Category_119,-9140.102249702744,72.69103771298246,-125.73905308371106,0,Sí
